key;es;en
idioma;Idioma;Language
selidioma;Seleccionar Idioma:;Select Language
data;Datos;Data
basico;Estadísticas Básicas;Basic Statistics
acp;ACP;PCA
jerarquico;Cluster Jerárquico;Hierarchical Clustering
kmedias;K-Medias;K-Means
inercia;Inercia;Inertia
inerciaintra;Inercia Intra-Clase;Inertia Intra-Class
inerciainter;Inercia Inter-Clase;Inertia Inter-Class
silhouette;Anchura media de Silhouette;Average Silhouette Width
reporte;Generar Reporte;Generate Report
acercade;Acerca De;About
cargar;Cargar;Load
trans;Transformar;Convert
header;Encabezado;Header 
Rownames;Incluir nombre de filas;Rownames
separador;Separador;Separator
coma;Coma;Comma
puntocoma;Punto y coma;Semicolon
tab;Espacio;Tab
separadordec;Separador Decimal;Decimal Separator
eliminana;Acción para Datos Ausentes(NAs);Action for Missing Data(NAs)
eliminar;Eliminar;Delete
imputar;Imputar;Impute
jambu;Jambu;Jambu
sil;Silhouette;Silhouette
punto;Punto;Point
si;SI;YES
no;NO;NO
cargarchivo;Cargar Archivo;Load Archive 
subir;Subir;Upload
descarga;Descargar Datos;Download Data
buscar;Buscar:;Search:
numerico;Numérico;Numeric
numericas;Numéricas;Numericals
categorico;Categórico;Categorical
categoricas;Categóricas;Categoricals
disyuntivo;Disyuntivo;Disjunctive
variables;Variables;Variables
tipo;Tipo;Type
activa;Activa;Active
aplicar;Aplicar;Apply
resumen;Resumen Numérico;Numeric Summary
normalidad;Test de Normalidad;Normality Test
dispersion;Dispersión;Scatter Plot
distribuciones;Distribuciones;Distributions
distribucion;Distribución;Distribution
correlacion;Correlación;Correlation
resumenvar;Resumen Numérico por Variable;Numeric Summary by Variable
selvar;Seleccionar Variable:;Select Variable:
selvars;Seleccionar Variables:;Select Variables:
plotnormal;Gráfico Normalidad;Normal Plot
titulonormal;Test de normalidad de;Normal Plot of
curvanormal;Curva Normal;Normal Curve
densidad;Densidad;Density
opciones;Opciones;Options
selcolor;Seleccionar Color:;Select Color:
selcolores;Seleccionar Colores:;Select Colors:
ejecutar;Ejecutar;Run
titulodistribucion;Distribución y Atipicidad de;Distribution and Atipicity of
codigo;Código;Code
funciones;Funciones;Functions
codigodistnum;Grafico de la Distribución (Numéricas);Distribution Plot (Numerical)
codigodistcat;Grafico de la Distribución (Categóricas);Distribution Plot (Categorical)
cantidadcasos;Cantidad de Casos;Number of Cases
categorias;Categorías;Categories
selmetodo;Seleccionar Método:;Select Method:
seltipo;Seleccionar Tipo:;Select Type:
individuos;Individuos;Individuals
sobreposicion;Sobreposición;Overlaying
ayudacp;Ayuda Interpretación; Interpretation Help
vee;Varianza Explicada por cada Eje;Variance Explained for each Axis
cci;Cosenos Cuadrados de los Individuos;Square Cosines of Individuals
ccv;Cosenos Cuadrados de las Variables;Square Cosines of Variables
cvc;Correlación Variables con los Componenetes;Correlation Variables with the Componenetes
cp;Contribución de las variables Dim;Contribution of the variables Dim
resultados;Resultados Numéricos;Numerical Results
centrar;Centrar y Reducir;Center and Reduce
escalar;Escalar;Scale
nocentrar;Sin Centrar ni Reducir;Unfocused and Unreduced
numerodim;Número de Dimensiones;Number of Dimentions
selejes;Seleccionar Ejes:;Select Axes:
cosind;Coseno de los Individuos:;Cosines of Individuals:
cosvar;Coseno de las Variables:;Cosines of Variables:
selcolorind;Seleccionar Color (Individuos):;Select Color (Individuals):
selcolorvar;Seleccionar Color (Variables):;Select Color (Variables):
dendograma;Dendograma;Dendogram
mapa;Mapa;Map
horizontal;Horizontal;Horizontal
vertical;Vertical;Vertical
radar;Radar;Radar
interpretacioncat;Interpretación Categórico;Categorical Interpretation
cantcluster;Cantidad de Clústers:;Number of Clusters:
numcluster;Número de Clusters;Number of Clusters
metcluster;Método Número de Clusters:;Method Number of Clusters:
indiceagrega;Índice de Agregación:;Aggregation Index:
metododist;Método para la Distancia:;Distance Method:
agregarcluster;Agregar Clústers a Tabla de Datos;Add Clusters to Dataset 
todos;Todos;All
jambu;Codo de Jambu;Jambu Elbow
kiter;Cantidad de iteraciones para K;Number of iterations to K
nstart;Ejecuciones en Formas Fuertes:;Executions in Strong Forms:
niter;Número de Iteraciones:;Number of Iterations:
algoritmo;Algoritmo:;Algorithm:
tituloreporte;Reporte;Report
titulo;Digite el Titulo:;Enter the Title:
nombre;Digite su nombre:;Enter your Name:
descargar;Descargar;Download
salida;Salida R;R Output 
copyright;TODOS LOS DERECHOS RESERVADOS A;ALL RIGHTS RESERVED TO
info;MÁS INFORMACIÓN;MORE INFORMATION
version;VERSIÓN DEL SISTEMA;SYSTEM VERSION
siguiente;Siguiente;Next
anterior;Anterior;Previous
primero;Primero;First
ultimo;Ultimo;Last
nodata;No hay datos disponibles;No data available in table
codedist;Gráfico de la Distribución;Distribution Plot
codecentros;Cálculo de los Centros;Calculation of Centers
codehoriz;Gráfica todas las variables en Horizontal;Plot all the variables in Horizontal
codevert;Gráfica todas las variables en Vertical;Plot all the variables in Vertical
coderadar;Gráfica todas las variables en radar;Plot all the variables in Radar
codejambu;Cálculo del Codo de Jambu;Calculation of Jambu Elbow
q1;Primer Cuartil;First Quartile
mediana;Mediana;Median
q3;Tercer Cuartil;Third Quartile
minimo;Mínimo;Minimum
promedio;Promedio;Mean
maximo;Máximo;Maximum
ds;Desviación Estandar;Standard deviation
dimensiones;Dimensiones;Dimensions
porcvee;Porcentaje de Varianzas Explicadas;Percentage of Variances Explained
calidadcos;Cos2 - Calidad de la Representación;Cos2 - Quality of Representation
contribucion;Contribuciones (%);Contributions (%)
positivo;Positivo;Positive
negativo;Negativo;Negative
sinasimetria;Sin Asimetría;Without Asymmetry
normal;Sigue la normal;Normal
nonormal;No sigue la normal;Non-normal
fisher;Cálculo de Fisher;Fisher's calculation
asimetria;Asimetría;Asymmetry
msjclusters;Los clústeres fueron correctamente agregados.;The clusters were added correctly.
reptransformar;Transformación de Datos;Data Transformation
repeliminacion;Eliminación de Variables;Elimination of Variables
repmodelo;Modelo ACP;PCA Model
rephc;Clusterización Jerarquica;Hierarchical Clusterization
repcor;Matriz de Correlaciones;Correlation Matrix
repcaind;Plano Principal;Main Plane
repcavar;Circulo de Correlaciones;Correlation Circle
repcabi;Sobreposición del Circulo y el Plano;Overlap of the Circle and the Plane
rephoriz;Interpretación Horizontal;Horizontal Interpretation
repvert;Interpretación Vertical;Vertical Interpretation
repradar;Gráfico Radar;Radar Plot
repcat;Interpretación Variables Categóricas;Interpretation of Categorical Variables
repinter;Retroalimentación;Feedback
distancia;Método Distancia:;Distance Method:
metodo;Método:;Method:
iter;Iteraciones:;Iterations:
coseno;Coseno:;Cosine:
ejes;Ejes:;Axes:
repcosind;Coseno Individuos:;Individuals Cosine:
repcosvar;Coseno Variables:;Variables Cosine:
repdim;Dimensiones:;Dimentions:
codreporte;Código del Reporte;Report Code
errornum;Se necesitan variables numéricas  para esta parte.;You need numerical variables for this part.
errorcat;Se necesitan variables categóricas  para esta parte.;You need categorical variables for this part.